index	name	abbreviation	color
422	Nucleus of the lateral olfactory tract, layers 1-3	NLOT1-3	94E4C8
423	Nucleus of the lateral olfactory tract, molecular layer	NLOT1	95E4C7
424	Nucleus of the lateral olfactory tract, pyramidal layer	NLOT2	95E3C8
425	Nucleus of the lateral olfactory tract, layer 3	NLOT3	94E4C7
426	Cortical amygdalar area	COA	60E7B5
427	Cortical amygdalar area, anterior part	COAa	60E5B7
428	Cortical amygdalar area, anterior part, layer 1	COAa1	61E7B7
429	Cortical amygdalar area, anterior part, layer 2	COAa2	61E7B6
430	Cortical amygdalar area, anterior part, layer 3	COAa3	61E6B7
431	Cortical amygdalar area, posterior part	COAp	5FE7B6
432	Cortical amygdalar area, posterior part, lateral zone	COApl	5FE6B7
433	Cortical amygdalar area, posterior part, lateral zone, layers 1-2	COApl1-2	61E6B5
434	Cortical amygdalar area, posterior part, lateral zone, layers 1-3	COApl1-3	61E5B7
435	Cortical amygdalar area, posterior part, lateral zone, layer 1	COApl1	60E7B7
436	Cortical amygdalar area, posterior part, lateral zone, layer 2	COApl2	61E6B6
437	Cortical amygdalar area, posterior part, lateral zone, layer 3	COApl3	60E7B6
438	Cortical amygdalar area, posterior part, medial zone	COApm	60E6B5
439	Cortical amygdalar area, posterior part, medial zone, layers 1-2	COApm1-2	61E5B6
440	Cortical amygdalar area, posterior part, medial zone, layers 1-3	COApm1-3	5FE7B7
441	Cortical amygdalar area, posterior part, medial zone, layer 1	COApm1	60E6B7
442	Cortical amygdalar area, posterior part, medial zone, layer 2	COApm2	60E6B6
443	Cortical amygdalar area, posterior part, medial zone, layer 3	COApm3	61E7B5
444	Piriform-amygdalar area	PAA	59D9AA
445	Piriform-amygdalar area, layers 1-3	PAA1-3	59DAAB
446	Piriform-amygdalar area, molecular layer	PAA1	59DAAA
447	Piriform-amygdalar area, pyramidal layer	PAA2	59D9AB
448	Piriform-amygdalar area, polymorph layer	PAA3	58DAAB
449	Postpiriform transition area	TR	A8ECD2
450	Postpiriform transition area, layers 1-3	TR1-3	A8ECD3
451	Postpiriform transition area, layers 1	TR1	A8EBD3
452	Postpiriform transition area, layers 2	TR2	A7ECD3
453	Postpiriform transition area, layers 3	TR3	A8EBD2
454	Hippocampal formation	HPF	7DCD4B
455	Hippocampal region	HIP	7DD048
456	Ammon's horn	CA	7ED04A
457	Field CA1	CA1	7ECF4B
458	Field CA1, stratum lacunosum-moleculare	CA1slm	7DD04B
459	Field CA1, stratum oriens	CA1so	7ECF4A
460	Field CA1, pyramidal layer	CA1sp	66A83D
461	Field CA1, stratum radiatum	CA1sr	7DD04A
462	Field CA2	CA2	7DCF4B
463	Field CA2, stratum lacunosum-moleculare	CA2slm	7DCF4A
464	Field CA2, stratum oriens	CA2so	7ED049
465	Field CA2, pyramidal layer	CA2sp	66A83C
466	Field CA2, stratum radiatum	CA2sr	7ECE4B
467	Field CA3	CA3	7ECF49
468	Field CA3, stratum lacunosum-moleculare	CA3slm	7DD049
469	Field CA3, stratum lucidum	CA3slu	7DCE4B
470	Field CA3, stratum oriens	CA3so	7CD04A
471	Field CA3, pyramidal layer	CA3sp	66A73D
472	Field CA3, stratum radiatum	CA3sr	7CCF4B
473	Dentate gyrus	DG	7DCF49
474	Dentate gyrus, molecular layer	DG-mo	7BD04A
475	Dentate gyrus, polymorph layer	DG-po	7ECE4A
476	Dentate gyrus, granule cell layer	DG-sg	65A83D
477	Dentate gyrus, subgranular zone	DG-sgz	7CD04B
478	Dentate gyrus crest	DGcr	7DCE4A
479	Dentate gyrus crest, molecular layer	DGcr-mo	7CCF4A
480	Dentate gyrus crest, polymorph layer	DGcr-po	7ECE49
481	Dentate gyrus crest, granule cell layer	DGcr-sg	7CD049
482	Dentate gyrus lateral blade	DGlb	7CCE4B
483	Dentate gyrus lateral blade, molecular layer	DGlb-mo	7ED048
484	Dentate gyrus lateral blade, polymorph layer	DGlb-po	7ECD4B
485	Dentate gyrus lateral blade, granule cell layer	DGlb-sg	7DCE49
486	Dentate gyrus medial blade	DGmb	7CCF49
487	Dentate gyrus medial blade, molecular layer	DGmb-mo	7CCE4A
488	Dentate gyrus medial blade, polymorph layer	DGmb-po	7BD04B
489	Dentate gyrus medial blade, granule cell layer	DGmb-sg	7ECF48
490	Fasciola cinerea	FC	7ECD4A
491	Induseum griseum	IG	7ED04B
492	Retrohippocampal region	RHP	30B625
493	Entorhinal area	ENT	32B822
494	Entorhinal area, lateral part	ENTl	32B525
495	Entorhinal area, lateral part, layer 1	ENTl1	32B722
496	Entorhinal area, lateral part, layer 2	ENTl2	32B825
497	Entorhinal area, lateral part, layer 2/3	ENTl2/3	2FB825
498	Entorhinal area, lateral part, layer 2a	ENTl2a	30B624
499	Entorhinal area, lateral part, layer 2b	ENTl2b	30B823
500	Entorhinal area, lateral part, layer 3	ENTl3	32B725
501	Entorhinal area, lateral part, layer 4	ENTl4	32B724
502	Entorhinal area, lateral part, layer 4/5	ENTl4/5	31B724
503	Entorhinal area, lateral part, layer 5	ENTl5	31B824
504	Entorhinal area, lateral part, layer 5/6	ENTl5/6	30B825
505	Entorhinal area, lateral part, layer 6a	ENTl6a	32B824
506	Entorhinal area, lateral part, layer 6b	ENTl6b	31B825
507	Entorhinal area, medial part, dorsal zone	ENTm	31B623
508	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	31B625
509	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	30B824
510	Entorhinal area, medial part, dorsal zone, layer 2a	ENTm2a	32B624
511	Entorhinal area, medial part, dorsal zone, layer 2b	ENTm2b	31B823
512	Entorhinal area, medial part, dorsal zone, layer 3	ENTm3	31B723
513	Entorhinal area, medial part, dorsal zone, layer 4	ENTm4	31B624
514	Entorhinal area, medial part, dorsal zone, layer 5	ENTm5	30B724
515	Entorhinal area, medial part, dorsal zone, layer 5/6	ENTm5/6	30B725
516	Entorhinal area, medial part, dorsal zone, layer 6	ENTm6	32B623
517	Entorhinal area, medial part, ventral zone	ENTmv	30B723
518	Entorhinal area, medial part, ventral zone, layer 1	ENTmv1	31B725
519	Entorhinal area, medial part, ventral zone, layer 2	ENTmv2	32B823
520	Entorhinal area, medial part, ventral zone, layer 3	ENTmv3	32B625
521	Entorhinal area, medial part, ventral zone, layer 4	ENTmv4	32B723
522	Entorhinal area, medial part, ventral zone, layer 5/6	ENTmv5/6	32B524
523	Parasubiculum	PAR	72D568
524	Parasubiculum, layer 1	PAR1	72D469
525	Parasubiculum, layer 2	PAR2	71D569
526	Parasubiculum, layer 3	PAR3	72D569
527	Postsubiculum	POST	47C83C
528	Postsubiculum, layer 1	POST1	48C73C
529	Postsubiculum, layer 2	POST2	48C83B
530	Postsubiculum, layer 3	POST3	48C83C
531	Presubiculum	PRE	59B847
532	Presubiculum, layer 1	PRE1	59B947
533	Presubiculum, layer 2	PRE2	59B946
534	Presubiculum, layer 3	PRE3	58B947
535	Subiculum	SUB	4FC244
536	Subiculum, dorsal part	SUBd	4FC243
537	Subiculum, dorsal part, molecular layer	SUBd-m	4EC244
538	Subiculum, dorsal part, pyramidal layer	SUBd-sp	4BB547
539	Subiculum, dorsal part, stratum radiatum	SUBd-sr	4FC143
540	Subiculum, ventral part	SUBv	4FC144
541	Subiculum, ventral part, molecular layer	SUBv-m	4EC243
542	Subiculum, ventral part, pyramidal layer	SUBv-sp	4BB546
543	Subiculum, ventral part, stratum radiatum	SUBv-sr	4EC144
544	Prosubiculum	ProS	57B947
545	Prosubiculum, dorsal part	ProSd	57BA47
546	Prosubiculum, dorsal part, molecular layer	ProSd-m	58BA48
547	Prosubiculum, dorsal part, pyramidal layer	ProSd-sp	56B84B
548	Prosubiculum, dorsal part, stratum radiatum	ProSd-sr	57B948
549	Prosubiculum, ventral part	ProSv	58BA47
550	Prosubiculum, ventral part, molecular layer	ProSv-m	58B948
551	Prosubiculum, ventral part, pyramidal layer	ProSv-sp	56B84A
552	Prosubiculum, ventral part, stratum radiatum	Prosv-sr	57BA48
553	Hippocampo-amygdalar transition area	HATA	33B931
554	Area prostriata	APr	33B932
555	Cortical subplate	CTXsp	8AD987
556	Layer 6b, isocortex	6b	8ADA87
557	Claustrum	CLA	8ADA86
558	Endopiriform nucleus	EP	A0EE9D
559	Endopiriform nucleus, dorsal part	EPd	A0EE9C
560	Endopiriform nucleus, ventral part	EPv	A0ED9D
561	Lateral amygdalar nucleus	LA	90EB8D
562	Basolateral amygdalar nucleus	BLA	9DE79C
563	Basolateral amygdalar nucleus, anterior part	BLAa	9DE79B
564	Basolateral amygdalar nucleus, posterior part	BLAp	9DE69C
565	Basolateral amygdalar nucleus, ventral part	BLAv	9CE79C
566	Basomedial amygdalar nucleus	BMA	84EA81
567	Basomedial amygdalar nucleus, anterior part	BMAa	84EA80
568	Basomedial amygdalar nucleus, posterior part	BMAp	84E981
569	Posterior amygdalar nucleus	PA	97EC93
570	Cerebral nuclei	CNU	98D6F8
571	Striatum	STR	97D6F9
572	Striatum dorsal region	STRd	98D6F9
573	Caudoputamen	CP	98D5F9
574	Striatum ventral region	STRv	7FCDF7
575	Nucleus accumbens	ACB	80CDF8
576	Fundus of striatum	FS	7ECDF8
577	Olfactory tubercle	OT	7FCCF7
578	Islands of Calleja	isl	80CCF7
579	Major island of Calleja	islm	80CDF6
580	Olfactory tubercle, layers 1-3	OT1-3	80CDF7
581	Olfactory tubercle, molecular layer	OT1	7FCCF8
582	Olfactory tubercle, pyramidal layer	OT2	80CCF8
583	Olfactory tubercle, polymorph layer	OT3	7FCDF8
584	Lateral strip of striatum	LSS	80CBF8
585	Lateral septal complex	LSX	90CAEC
586	Lateral septal nucleus	LS	90CBED
587	Lateral septal nucleus, caudal (caudodorsal) part	LSc	90CBEC
588	Lateral septal nucleus, rostral (rostroventral) part	LSr	90CAED
589	Lateral septal nucleus, ventral part	LSv	8FCBED
590	Septofimbrial nucleus	SF	8FCBEC
591	Septohippocampal nucleus	SH	8FCAED
592	Striatum-like amygdalar nuclei	sAMY	80C0E1
593	Anterior amygdalar area	AAA	80C0E2
594	Bed nucleus of the accessory olfactory tract	BA	80BFE2
595	Central amygdalar nucleus	CEA	7EC0E2
596	Central amygdalar nucleus, capsular part	CEAc	80BFE0
597	Central amygdalar nucleus, lateral part	CEAl	80BEE1
598	Central amygdalar nucleus, medial part	CEAm	7FC0E0
599	Intercalated amygdalar nucleus	IA	80BEE2
600	Medial amygdalar nucleus	MEA	80BFE1
601	Medial amygdalar nucleus, anterodorsal part	MEAad	7FC0E2
602	Medial amygdalar nucleus, anteroventral part	MEAav	7FC0E1
603	Medial amygdalar nucleus, posterodorsal part	MEApd	7FBFE2
604	Medial amygdalar nucleus, posterodorsal part, sublayer a	MEApd-a	7FBFE1
605	Medial amygdalar nucleus, posterodorsal part, sublayer b	MEApd-b	80C0E0
606	Medial amygdalar nucleus, posterodorsal part, sublayer c	MEApd-c	7EC0E1
607	Medial amygdalar nucleus, posteroventral part	MEApv	7FBEE2
608	Pallidum	PAL	8599CC
609	Pallidum, dorsal region	PALd	8599CB
610	Globus pallidus, external segment	GPe	8598CC
611	Globus pallidus, internal segment	GPi	8499CC
612	Pallidum, ventral region	PALv	A2B0D8
613	Substantia innominata	SI	A2B1D7
614	Magnocellular nucleus	MA	A2B1D8
615	Pallidum, medial region	PALm	95A7D3
616	Medial septal complex	MSC	96A6D2
617	Medial septal nucleus	MS	96A7D3
618	Diagonal band nucleus	NDB	96A6D3
619	Triangular nucleus of septum	TRS	96A7D2
620	Pallidum, caudal region	PALc	B1BFDF
621	Bed nuclei of the stria terminalis	BST	B3C0DE
622	Bed nuclei of the stria terminalis, anterior division	BSTa	B3BFDF
623	Bed nuclei of the stria terminalis, anterior division, anterolateral area	BSTal	B2BFDD
624	Bed nuclei of the stria terminalis, anterior division, anteromedial area	BSTam	B3BFDE
625	Bed nuclei of the stria terminalis, anterior division, dorsomedial nucleus	BSTdm	B2C0DE
626	Bed nuclei of the stria terminalis, anterior division, fusiform nucleus	BSTfu	B2BFDF
627	Bed nuclei of the stria terminalis, anterior division, juxtacapsular nucleus	BSTju	B3BEDF
628	Bed nuclei of the stria terminalis, anterior division, magnocellular nucleus	BSTmg	B2BFDE
629	Bed nuclei of the stria terminalis, anterior division, oval nucleus	BSTov	B1C0DF
630	Bed nuclei of the stria terminalis, anterior division, rhomboid nucleus	BSTrh	B3BFDD
631	Bed nuclei of the stria terminalis, anterior division, ventral nucleus	BSTv	B3C0DD
632	Bed nuclei of the stria terminalis, posterior division	BSTp	B2C0DF
633	Bed nuclei of the stria terminalis, posterior division, dorsal nucleus	BSTd	B3BEDE
634	Bed nuclei of the stria terminalis, posterior division, principal nucleus	BSTpr	B2C0DD
635	Bed nuclei of the stria terminalis, posterior division, interfascicular nucleus	BSTif	B2BEDE
636	Bed nuclei of the stria terminalis, posterior division, transverse nucleus	BSTtr	B2BEDF
637	Bed nuclei of the stria terminalis, posterior division, strial extension	BSTse	B1C0DE
638	Bed nucleus of the anterior commissure	BAC	B3C0DF
639	Brain stem	BS	FF7080
640	Interbrain	IB	FF707F
641	Thalamus	TH	FF6F80
642	Thalamus, sensory-motor cortex related	DORsm	FE7E84
643	Ventral group of the dorsal thalamus	VENT	FF8082
644	Ventral anterior-lateral complex of the thalamus	VAL	FD7E84
645	Ventral medial nucleus of the thalamus	VM	FF7E84
646	Ventral posterior complex of the thalamus	VP	FF8081
647	Ventral posterolateral nucleus of the thalamus	VPL	FD8084
648	Ventral posterolateral nucleus of the thalamus, parvicellular part	VPLpc	FF7F82
649	Ventral posteromedial nucleus of the thalamus	VPM	FF7E83
650	Ventral posteromedial nucleus of the thalamus, parvicellular part	VPMpc	FE8082
651	Posterior triangular thalamic nucleus	PoT	FF7E82
652	Subparafascicular nucleus	SPF	FF8083
653	Subparafascicular nucleus, magnocellular part	SPFm	FF7F84
654	Subparafascicular nucleus, parvicellular part	SPFp	FE8084
655	Subparafascicular area	SPA	FE7F83
656	Peripeduncular nucleus	PP	FD7F84
657	Geniculate group, dorsal thalamus	GENd	FD8083
658	Medial geniculate complex	MG	FF7F83
659	Medial geniculate complex, dorsal part	MGd	FE7F82
660	Medial geniculate complex, ventral part	MGv	FE7E83
661	Medial geniculate complex, medial part	MGm	FD7F83
662	Dorsal part of the lateral geniculate complex	LGd	FF8084
663	Dorsal part of the lateral geniculate complex, shell	LGd-sh	FE8083
664	Dorsal part of the lateral geniculate complex, core	LGd-co	FE7F84
665	Dorsal part of the lateral geniculate complex, ipsilateral zone	LGd-ip	FD8082
666	Thalamus, polymodal association cortex related	DORpm	FE909C
667	Lateral group of the dorsal thalamus	LAT	FE8F9F
668	Lateral posterior nucleus of the thalamus	LP	FE909D
669	Posterior complex of the thalamus	PO	FF8E9C
670	Posterior limiting nucleus of the thalamus	POL	FF8D9D
671	Suprageniculate nucleus	SGN	FF8E9D
672	Ethmoid nucleus of the thalamus	Eth	FD8F9C
673	Retroethmoid nucleus	REth	FD8D9E
674	Anterior group of the dorsal thalamus	ATN	FE8E9F
675	Anteroventral nucleus of thalamus	AV	FD909E
676	Anteromedial nucleus	AM	FE909E
677	Anteromedial nucleus, dorsal part	AMd	FD8D9F
678	Anteromedial nucleus, ventral part	AMv	FC909D
679	Anterodorsal nucleus	AD	FF8F9E
680	Interanteromedial nucleus of the thalamus	IAM	FE8E9C
681	Interanterodorsal nucleus of the thalamus	IAD	FC8E9F
682	Lateral dorsal nucleus of thalamus	LD	FF909D
683	Medial group of the dorsal thalamus	MED	FF909C
684	Intermediodorsal nucleus of the thalamus	IMD	FE909F
685	Mediodorsal nucleus of thalamus	MD	FD909D
686	Mediodorsal nucleus of the thalamus, central part	MDc	FC909F
687	Mediodorsal nucleus of the thalamus, lateral part	MDl	FF8F9C
688	Mediodorsal nucleus of the thalamus, medial part	MDm	FF8D9E
689	Submedial nucleus of the thalamus	SMT	FD8E9F
690	Perireunensis nucleus	PR	FD909C
691	Midline group of the dorsal thalamus	MTN	FE8E9D
692	Paraventricular nucleus of the thalamus	PVT	FE8F9E
693	Parataenial nucleus	PT	FF909F
694	Nucleus of reuniens	RE	FD909F
695	Xiphoid thalamic nucleus	Xi	FC8F9F
696	Intralaminar nuclei of the dorsal thalamus	ILM	FF8F9F
697	Rhomboid nucleus	RH	FF8E9E
698	Central medial nucleus of the thalamus	CM	FD8E9E
699	Paracentral nucleus	PCN	FE8D9F
700	Central lateral nucleus of the thalamus	CL	FD8F9D
701	Parafascicular nucleus	PF	FC909E
702	Posterior intralaminar thalamic nucleus	PIL	FE8D9E
703	Reticular nucleus of the thalamus	RT	FD8F9F
704	Geniculate group, ventral thalamus	GENv	FD8E9D
705	Intergeniculate leaflet of the lateral geniculate complex	IGL	FF909E
706	Intermediate geniculate nucleus	IntG	FE8D9D
707	Ventral part of the lateral geniculate complex	LGv	FF8E9F
708	Ventral part of the lateral geniculate complex, lateral zone	LGvl	FE8F9D
709	Ventral part of the lateral geniculate complex, medial zone	LGvm	FE8E9E
710	Subgeniculate nucleus	SubG	FD8F9E
711	Epithalamus	EPI	FC8F9E
712	Medial habenula	MH	FF8D9F
713	Lateral habenula	LH	FF8F9D
714	Pineal body	PIN	FE8F9C
715	Hypothalamus	HY	E64438
716	Periventricular zone	PVZ	FF5C4E
717	Supraoptic nucleus	SO	FE5B50
718	Accessory supraoptic group	ASO	FE5D4E
719	Nucleus circularis	NC	FD5D4F
720	Paraventricular hypothalamic nucleus	PVH	FF5D4F
721	Paraventricular hypothalamic nucleus, magnocellular division	PVHm	FF5C4F
722	Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part	PVHam	FF5C50
723	Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part	PVHmm	FE5D4F
724	Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part	PVHpm	FF5D4E
725	Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone	PVHpml	FD5C50
726	Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone	PVHpmm	FE5C4E
727	Paraventricular hypothalamic nucleus, parvicellular division	PVHp	FE5C4F
728	Paraventricular hypothalamic nucleus, parvicellular division, anterior parvicellular part	PVHap	FE5D50
729	Paraventricular hypothalamic nucleus, parvicellular division, medial parvicellular part, dorsal zone	PVHmpd	FE5C50
730	Paraventricular hypothalamic nucleus, parvicellular division, periventricular part	PVHpv	FF5B50
731	Periventricular hypothalamic nucleus, anterior part	PVa	FF5D50
732	Periventricular hypothalamic nucleus, intermediate part	PVi	FD5D50
733	Arcuate hypothalamic nucleus	ARH	FF5B4F
734	Periventricular region	PVR	FF5446
735	Anterodorsal preoptic nucleus	ADP	FF5547
736	Anterior hypothalamic area	AHA	FF5546
737	Anteroventral preoptic nucleus	AVP	FE5447
738	Anteroventral periventricular nucleus	AVPV	FE5446
739	Dorsomedial nucleus of the hypothalamus	DMH	FE5445
740	Dorsomedial nucleus of the hypothalamus, anterior part	DMHa	FE5545
741	Dorsomedial nucleus of the hypothalamus, posterior part	DMHp	FE5347
742	Dorsomedial nucleus of the hypothalamus, ventral part	DMHv	FD5546
743	Median preoptic nucleus	MEPO	FF5445
744	Medial preoptic area	MPO	FF5346
745	Vascular organ of the lamina terminalis	OV	FD5447
746	Posterodorsal preoptic nucleus	PD	FE5346
747	Parastrial nucleus	PS	FD5446
748	Suprachiasmatic preoptic nucleus	PSCH	FF5345
749	Periventricular hypothalamic nucleus, posterior part	PVp	FF5447
750	Periventricular hypothalamic nucleus, preoptic part	PVpo	FE5547
751	Subparaventricular zone	SBPV	FD5547
752	Suprachiasmatic nucleus	SCH	FF5545
753	Subfornical organ	SFO	FF5347
754	Ventromedial preoptic nucleus	VMPO	FD5545
755	Ventrolateral preoptic nucleus	VLPO	FE5546
756	Hypothalamic medial zone	MEZ	FF4C3C
757	Anterior hypothalamic nucleus	AHN	FF4B3E
758	Anterior hypothalamic nucleus, anterior part	AHNa	FE4C3C
759	Anterior hypothalamic nucleus, central part	AHNc	FE4C3E
760	Anterior hypothalamic nucleus, dorsal part	AHNd	FE4A3E
761	Anterior hypothalamic nucleus, posterior part	AHNp	FD4C3D
762	Mammillary body	MBO	FE4C3D
763	Lateral mammillary nucleus	LM	FF4B3D
764	Medial mammillary nucleus	MM	FF4A3E
765	Medial mammillary nucleus, median part	Mmme	FD4B3E
766	Medial mammillary nucleus, lateral part	Mml	FC4B3E
767	Medial mammillary nucleus, medial part	Mmm	FE4A3C
768	Medial mammillary nucleus, posterior part	Mmp	FE493D
769	Medial mammillary nucleus, dorsal part	Mmd	FD4A3D
770	Supramammillary nucleus	SUM	FF493D
771	Supramammillary nucleus, lateral part	SUMl	FE4C3B
772	Supramammillary nucleus, medial part	SUMm	FE493E
773	Tuberomammillary nucleus	TM	FF4B3C
774	Tuberomammillary nucleus, dorsal part	TMd	FC4C3D
775	Tuberomammillary nucleus, ventral part	TMv	FF4C3E
776	Medial preoptic nucleus	MPN	FD4C3E
777	Medial preoptic nucleus, central part	MPNc	FE4A3D
778	Medial preoptic nucleus, lateral part	MPNl	FD4B3D
779	Medial preoptic nucleus, medial part	MPNm	FF4A3C
780	Dorsal premammillary nucleus	PMd	FC4C3E
781	Ventral premammillary nucleus	PMv	FF4B3B
782	Paraventricular hypothalamic nucleus, descending division	PVHd	FF4C3D
783	Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part	PVHdp	FE4B3E
784	Paraventricular hypothalamic nucleus, descending division, forniceal part	PVHf	FE4B3D
785	Paraventricular hypothalamic nucleus, descending division, lateral parvicellular part	PVHlp	FE4B3B
786	Paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone	PVHmpv	FE4B3C
787	Ventromedial hypothalamic nucleus	VMH	FF4A3D
788	Ventromedial hypothalamic nucleus, anterior part	VMHa	FD4C3C
789	Ventromedial hypothalamic nucleus, central part	VMHc	FD4A3E
790	Ventromedial hypothalamic nucleus, dorsomedial part	VMHdm	FF4C3B
791	Ventromedial hypothalamic nucleus, ventrolateral part	VMHvl	FF493E
792	Posterior hypothalamic nucleus	PH	FD4B3C
793	Hypothalamic lateral zone	LZ	F1483B
794	Lateral hypothalamic area	LHA	F2483A
795	Lateral preoptic area	LPO	F2473B
796	Preparasubthalamic nucleus	PST	F2473A
797	Parasubthalamic nucleus	PSTN	F1483A
798	Perifornical nucleus	PeF	F2463A
799	Retrochiasmatic area	RCH	F2483B
800	Subthalamic nucleus	STN	F1473B
801	Tuberal nucleus	TU	F24839
802	Zona incerta	ZI	F0483B
803	Dopaminergic A13 group	A13	F2463B
804	Fields of Forel	FF	F24739
805	Median eminence	ME	F1473A
806	Midbrain	MB	FF64FF
807	Midbrain, sensory related	MBsen	FE7AFF
808	Superior colliculus, sensory related	SCs	FF79FF
809	Superior colliculus, optic layer	SCop	FD7AFF
810	Superior colliculus, superficial gray layer	SCsg	FF78FF
811	Superior colliculus, zonal layer	SCzo	FF7AFD
812	Inferior colliculus	IC	FF7AFF
813	Inferior colliculus, central nucleus	ICc	FE7AFE
814	Inferior colliculus, dorsal nucleus	ICd	FE79FF
815	Inferior colliculus, external nucleus	ICe	FE79FE
816	Nucleus of the brachium of the inferior colliculus	NB	FE7AFD
817	Nucleus sagulum	SAG	FF7AFE
818	Parabigeminal nucleus	PBG	FF79FD
819	Midbrain trigeminal nucleus	MEV	FF79FE
820	Subcommissural organ	SCO	FF78FE
821	Midbrain, motor related	MBmot	FE8EFE
822	Substantia nigra, reticular part	SNr	FF8DFD
823	Ventral tegmental area	VTA	FE8DFF
824	Paranigral nucleus	PN	FF8EFE
825	Midbrain reticular nucleus, retrorubral area	RR	FD8FFF
826	Midbrain reticular nucleus	MRN	FF8FFD
