index	name	abbreviation	color
827	Midbrain reticular nucleus, magnocellular part	MRNm	FF8EFC
828	Midbrain reticular nucleus, magnocellular part, general	MRNmg	FF8DFF
829	Midbrain reticular nucleus, parvicellular part	MRNp	FE8EFD
830	Superior colliculus, motor related	SCm	FE8FFD
831	Superior colliculus, motor related, deep gray layer	SCdg	FF8FFF
832	Superior colliculus, motor related, deep white layer	SCdw	FF8FFE
833	Superior colliculus, motor related, intermediate white layer	SCiw	FF90FE
834	Superior colliculus, motor related, intermediate gray layer	SCig	FF90FF
835	Superior colliculus, motor related, intermediate gray layer, sublayer a	SCig-a	FF8EFD
836	Superior colliculus, motor related, intermediate gray layer, sublayer b	SCig-b	FD90FD
837	Superior colliculus, motor related, intermediate gray layer, sublayer c	SCig-c	FD8EFF
838	Periaqueductal gray	PAG	FC8FFF
839	Precommissural nucleus	PRC	FE90FE
840	Interstitial nucleus of Cajal	INC	FF90FD
841	Nucleus of Darkschewitsch	ND	FD8FFD
842	Supraoculomotor periaqueductal gray	Su3	FD90FC
843	Pretectal region	PRT	FD8EFD
844	Anterior pretectal nucleus	APN	FE8EFF
845	Medial pretectal area	MPT	FF90FC
846	Nucleus of the optic tract	NOT	FF8FFC
847	Nucleus of the posterior commissure	NPC	FF8DFE
848	Olivary pretectal nucleus	OP	FE90FC
849	Posterior pretectal nucleus	PPT	FC8FFE
850	Retroparafascicular nucleus	RPF	FD8DFF
851	Intercollicular nucleus	InCo	FC90FD
852	Cuneiform nucleus	CUN	FC90FF
853	Red nucleus	RN	FE90FD
854	Oculomotor nucleus	III	FE90FF
855	Medial accesory oculomotor nucleus	MA3	FC8EFF
856	Edinger-Westphal nucleus	EW	FE8FFC
857	Trochlear nucleus	IV	FD90FF
858	Paratrochlear nucleus	Pa4	FE8DFE
859	Ventral tegmental nucleus	VTN	FC90FE
860	Anterior tegmental nucleus	AT	FD90FE
861	Lateral terminal nucleus of the accessory optic tract	LT	FE8FFE
862	Dorsal terminal nucleus of the accessory optic tract	DT	FF8EFF
863	Medial terminal nucleus of the accessory optic tract	MT	FE8FFF
864	Substantia nigra, lateral part	SNl	FD8EFE
865	Midbrain, behavioral state related	MBsta	FD8FFE
866	Substantia nigra, compact part	SNc	FFA6FD
867	Pedunculopontine nucleus	PPN	FFA5FD
868	Midbrain raphe nuclei	RAmb	FFA5FF
869	Interfascicular nucleus raphe	IF	FFA6FF
870	Interpeduncular nucleus	IPN	FFA6FE
871	Interpeduncular nucleus, rostral	IPR	FFA4FE
872	Interpeduncular nucleus, caudal	IPC	FFA5FE
873	Interpeduncular nucleus, apical	IPA	FEA6FE
874	Interpeduncular nucleus, lateral	IPL	FEA5FF
875	Interpeduncular nucleus, intermediate	IPI	FEA6FD
876	Interpeduncular nucleus, dorsomedial	IPDM	FEA4FF
877	Interpeduncular nucleus, dorsolateral	IPDL	FDA6FE
878	Interpeduncular nucleus, rostrolateral	IPRL	FEA5FE
879	Rostral linear nucleus raphe	RL	FEA6FF
880	Central linear nucleus raphe	CLI	FFA4FF
881	Dorsal nucleus raphe	DR	FDA6FF
882	Hindbrain	HB	FF9B87
883	Pons	P	FF9B88
884	Pons, sensory related	P-sen	FFAC6D
885	Nucleus of the lateral lemniscus	NLL	FFAC6F
886	Nucleus of the lateral lemniscus, dorsal part	NLLd	FFAE6E
887	Nucleus of the lateral lemniscus, horizontal part	NLLh	FFAD6F
888	Nucleus of the lateral lemniscus, ventral part	NLLv	FEAE6F
889	Principal sensory nucleus of the trigeminal	PSV	FFAE6F
890	Parabrachial nucleus	PB	FFAD6D
891	Koelliker-Fuse subnucleus	KF	FEAD6E
892	Parabrachial nucleus, lateral division	PBl	FEAE6D
893	Parabrachial nucleus, lateral division, central lateral part	PBlc	FDAE6F
894	Parabrachial nucleus, lateral division, dorsal lateral part	PBld	FFAC6E
895	Parabrachial nucleus, lateral division, external lateral part	PBle	FDAE6D
896	Parabrachial nucleus, lateral division, superior lateral part	PBls	FEAC6F
897	Parabrachial nucleus, lateral division, ventral lateral part	PBlv	FDAD6F
898	Parabrachial nucleus, medial division	PBm	FDAE6E
899	Parabrachial nucleus, medial division, external medial part	PBme	FEAD6D
900	Parabrachial nucleus, medial division, medial medial part	PBmm	FEAC6E
901	Parabrachial nucleus, medial division, ventral medial part	PBmv	FDAD6E
902	Superior olivary complex	SOC	FFAE6D
903	Superior olivary complex, periolivary region	POR	FEAD6F
904	Superior olivary complex, medial part	SOCm	FFAD6E
905	Superior olivary complex, lateral part	SOCl	FEAE6E
906	Pons, motor related	P-mot	FFB886
907	Barrington's nucleus	B	FFBA86
908	Dorsal tegmental nucleus	DTN	FEB985
909	Lateral tegmental nucleus	LTN	FFBA85
910	Posterodorsal tegmental nucleus	PDTg	FFB984
911	Pontine central gray	PCG	FFBA84
912	Pontine gray	PG	FFB885
913	Pontine reticular nucleus, caudal part	PRNc	FDBA86
914	Pontine reticular nucleus, ventral part	PRNv	FFB985
915	Supragenual nucleus	SG	FFB986
916	Superior salivatory nucleus	SSN	FEBA84
917	Supratrigeminal nucleus	SUT	FEBA86
918	Tegmental reticular nucleus	TRN	FEBA85
919	Motor nucleus of trigeminal	V	FEB986
920	Peritrigeminal zone	P5	FEB886
921	Accessory trigeminal nucleus	Acs5	FDBA85
922	Parvicellular motor 5 nucleus	PC5	FDB986
923	Intertrigeminal nucleus	I5	FEB984
924	Pons, behavioral state related	P-sat	FFC195
925	Superior central nucleus raphe	CS	FFC393
926	Superior central nucleus raphe, lateral part	CSl	FFC394
927	Superior central nucleus raphe, medial part	CSm	FFC395
928	Locus ceruleus	LC	FDC395
929	Laterodorsal tegmental nucleus	LDT	FEC395
930	Nucleus incertus	NI	FEC294
931	Pontine reticular nucleus	PRNr	FFC295
932	Nucleus raphe pontis	RPO	FFC294
933	Subceruleus nucleus	SLC	FEC394
934	Sublaterodorsal nucleus	SLD	FEC295
935	Medulla	MY	FF9BCD
936	Medulla, sensory related	MY-sen	FFA3D2
937	Area postrema	AP	FFA5D0
938	Cochlear nuclei	CN	FEA5D0
939	Granular lamina of the cochlear nuclei	CNlam	FEA4D1
940	Cochlear nucleus, subpedunclular granular region	CNspg	FFA3D1
941	Dorsal cochlear nucleus	DCO	FEA5D1
942	Ventral cochlear nucleus	VCO	FEA4D2
943	Dorsal column nuclei	DCN	FDA3D2
944	Cuneate nucleus	CU	FDA5D0
945	Gracile nucleus	GR	FEA3D0
946	External cuneate nucleus	ECU	FFA2D2
947	Nucleus of the trapezoid body	NTB	FEA3D2
948	Nucleus of the solitary tract	NTS	FDA5D1
949	Nucleus of the solitary tract, central part	NTSce	FDA4D2
950	Nucleus of the solitary tract, commissural part	NTSco	FEA4D0
951	Nucleus of the solitary tract, gelatinous part	NTSge	FEA3D1
952	Nucleus of the solitary tract, lateral part	NTSl	FDA4D1
953	Nucleus of the solitary tract, medial part	NTSm	FFA3D0
954	Spinal nucleus of the trigeminal, caudal part	SPVC	FDA4D0
955	Spinal nucleus of the trigeminal, interpolar part	SPVI	FDA5D2
956	Spinal nucleus of the trigeminal, oral part	SPVO	FFA4D0
957	Spinal nucleus of the trigeminal, oral part, caudal dorsomedial part	SPVOcdm	FFA4D1
958	Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone	SPVOmdmd	FFA5D1
959	Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, ventral zone	SPVOmdmv	FFA4D2
960	Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part	SPVOrdm	FFA5D2
961	Spinal nucleus of the trigeminal, oral part, ventrolateral part	SPVOvl	FEA5D2
962	Paratrigeminal nucleus	Pa5	FDA3D1
963	Nucleus z	z	FFA5CF
964	Medulla, motor related	MY-mot	FEB2D7
965	Abducens nucleus	VI	FDB1D9
966	Accessory abducens nucleus	ACVI	FFB1D7
967	Facial motor nucleus	VII	FFB3D6
968	Accessory facial motor nucleus	ACVII	FDB0D9
969	Efferent vestibular nucleus	EV	FDB3D7
970	Nucleus ambiguus	AMB	FEB3D9
971	Nucleus ambiguus, dorsal division	AMBd	FEB3D6
972	Nucleus ambiguus, ventral division	AMBv	FEB3D8
973	Dorsal motor nucleus of the vagus nerve	DMX	FDB1D8
974	Efferent cochlear group	ECO	FEB1D6
975	Gigantocellular reticular nucleus	GRN	FEB0D8
976	Infracerebellar nucleus	ICB	FEB1D8
977	Inferior olivary complex	IO	FFB3D8
978	Intermediate reticular nucleus	IRN	FFB2D8
979	Inferior salivatory nucleus	ISN	FFB2D9
980	Linear nucleus of the medulla	LIN	FFB1D8
981	Lateral reticular nucleus	LRN	FDB3D8
982	Lateral reticular nucleus, magnocellular part	LRNm	FCB3D7
983	Lateral reticular nucleus, parvicellular part	LRNp	FEB0D9
984	Magnocellular reticular nucleus	MARN	FDB2D9
985	Medullary reticular nucleus	MDRN	FDB2D8
986	Medullary reticular nucleus, dorsal part	MDRNd	FDB1D7
987	Medullary reticular nucleus, ventral part	MDRNv	FFB1D6
988	Parvicellular reticular nucleus	PARN	FCB3D9
989	Parasolitary nucleus	PAS	FFB2D6
990	Paragigantocellular reticular nucleus	PGRN	FFB0D8
991	Paragigantocellular reticular nucleus, dorsal part	PGRNd	FCB3D8
992	Paragigantocellular reticular nucleus, lateral part	PGRNl	FCB2D9
993	Perihypoglossal nuclei	PHY	FEB2D9
994	Nucleus intercalatus	NIS	FEB2D8
995	Nucleus of Roller	NR	FFB1D9
996	Nucleus prepositus	PRP	FFB3D7
997	Paramedian reticular nucleus	PMR	FEB2D6
998	Parapyramidal nucleus	PPY	FCB2D8
999	Parapyramidal nucleus, deep part	PPYd	FDB3D9
1000	Parapyramidal nucleus, superficial part	PPYs	FFB2D7
1001	Vestibular nuclei	VNC	FCB1D9
1002	Lateral vestibular nucleus	LAV	FEB3D7
1003	Medial vestibular nucleus	MV	FFB0D7
1004	Spinal vestibular nucleus	SPIV	FEB1D9
1005	Superior vestibular nucleus	SUV	FDB3D6
1006	Nucleus x	x	FFB0D9
1007	Hypoglossal nucleus	XII	FEB1D7
1008	Nucleus y	y	FDB2D7
1009	Interstitial nucleus of the vestibular nerve	INV	FFB3D9
1010	Medulla, behavioral state related	MY-sat	FFC6E1
1011	Nucleus raphe magnus	RM	FFC5E2
1012	Nucleus raphe pallidus	RPA	FFC6E2
1013	Nucleus raphe obscurus	RO	FEC6E2
1014	Cerebellum	CB	F0F080
1015	Cerebellar cortex	CBX	F0EF80
1016	Cerebellar cortex, molecular layer	CBXmo	FFFA8E
1017	Cerebellar cortex, Purkinje layer	CBXpu	FFF98F
1018	Cerebellar cortex, granular layer	CBXgr	EBE753
1019	Vermal regions	VERM	FFFA91
1020	Lingula (I)	LING	FEFA91
1021	Lingula (I), molecular layer	LINGmo	FFFC91
1022	Lingula (I), Purkinje layer	LINGpu	FEFC90
1023	Lingula (I), granular layer	LINGgr	EBE553
1024	Central lobule	CENT	FDFB91
1025	Lobule II	CENT2	FDFA91
1026	Lobule II, molecular layer	CENT2mo	FEF98F
1027	Lobule II, Purkinje layer	CENT2pu	FEF891
1028	Lobule II, granular layer	CENT2gr	EBE654
1029	Lobule III	CENT3	FFFC8E
1030	Lobule III, molecular layer	CENT3mo	FDF98F
1031	Lobule III, Purkinje layer	CENT3pu	FFFC90
1032	Lobule III, granular layer	CENT3gr	ECE654
1033	Culmen	CUL	FEFB8F
1034	Lobule IV	CUL4	FFF991
1035	Lobule IV, molecular layer	CUL4mo	FDFA90
1036	Lobule IV, Purkinje layer	CUL4pu	FDFB8E
1037	Lobule IV, granular layer	CUL4gr	ECE754
1038	Lobule V	CUL5	FEFA8F
1039	Lobule V, molecular layer	CUL5mo	FEFC8D
1040	Lobule V, Purkinje layer	CUL5pu	FFF890
1041	Lobule V, granular layer	CUL5gr	EBE554
1042	Lobules IV-V	CUL4, 5	FCFB90
1043	Lobules IV-V, molecular layer	CUL4, 5mo	FEFB91
1044	Lobules IV-V, Purkinje layer	CUL4, 5pu	FCFA90
1045	Lobules IV-V, granular layer	CUL4, 5gr	EBE754
1046	Declive (VI)	DEC	FEFA90
1047	Declive (VI), molecular layer	DECmo	FFFB8F
1048	Declive (VI), Purkinje layer	DECpu	FCFB91
1049	Declive (VI), granular layer	DECgr	ECE553
1050	Folium-tuber vermis (VII)	FOTU	FDFB90
1051	Folium-tuber vermis (VII), molecular layer	FOTUmo	FDF991
1052	Folium-tuber vermis (VII), Purkinje layer	FOTUpu	FDFA8F
1053	Folium-tuber vermis (VII), granular layer	FOTUgr	EAE753
1054	Pyramus (VIII)	PYR	FBFC91
1055	Pyramus (VIII), molecular layer	PYRmo	FFFB8D
1056	Pyramus (VIII), Purkinje layer	PYRpu	FEFB90
1057	Pyramus (VIII), granular layer	PYRgr	ECE752
1058	Uvula (IX)	UVU	FFFA8F
1059	Uvula (IX), molecular layer	UVUmo	FDFC90
1060	Uvula (IX), Purkinje layer	UVUpu	FEFC8F
1061	Uvula (IX), granular layer	UVUgr	EBE652
1062	Nodulus (X)	NOD	FDFC8F
1063	Nodulus (X), molecular layer	NODmo	FCFA8F
1064	Nodulus (X), Purkinje layer	NODpu	FFFA90
1065	Nodulus (X), granular layer	NODgr	ECE653
1066	Hemispheric regions	HEM	FEF990
1067	Simple lobule	SIM	FDFB8F
1068	Simple lobule, molecular layer	SIMmo	FEFB8E
1069	Simple lobule, Purkinje layer	SIMpu	FEFC8E
1070	Simple lobule, granular layer	SIMgr	EAE654
1071	Ansiform lobule	AN	FCFC91
1072	Crus 1	ANcr1	FCFC90
1073	Crus 1, molecular layer	ANcr1mo	FDFC8E
1074	Crus 1, Purkinje layer	ANcr1pu	FFFB91
1075	Crus 1, granular layer	ANcr1gr	ECE753
1076	Crus 2	ANcr2	FCFA91
1077	Crus 2, molecular layer	ANcr2mo	FEFA8E
1078	Crus 2, Purkinje layer	ANcr2pu	FCFC8F
1079	Crus 2, granular layer	ANcr2gr	EBE653
1080	Paramedian lobule	PRM	FFFB8E
1081	Paramedian lobule, molecular layer	PRMmo	FEFC91
1082	Paramedian lobule, Purkinje layer	PRMpu	FDF990
1083	Paramedian lobule, granular layer	PRMgr	ECE554
1084	Copula pyramidis	COPY	FFF990
1085	Copula pyramidis, molecular layer	COPYmo	FDFA8E
1086	Copula pyramidis, Purkinje layer	COPYpu	FCFB8F
1087	Copula pyramidis, granular layer	COPYgr	EAE754
1088	Paraflocculus	PFL	FFFC8D
1089	Paraflocculus, molecular layer	PFLmo	FFFB90
1090	Paraflocculus, Purkinje layer	PFLpu	FFFC8F
1091	Paraflocculus, granular layer	PFLgr	ECE652
1092	Flocculus	FL	FEF991
1093	Flocculus, molecular layer	FLmo	FDFC91
1094	Flocculus, Purkinje layer	FLpu	FFF891
1095	Flocculus, granular layer	FLgr	EBE752
1096	Cerebellar nuclei	CBN	F0F07F
1097	Fastigial nucleus	FN	FFFCBC
1098	Interposed nucleus	IP	FFFDBC
1099	Dentate nucleus	DN	FFFDBB
1100	Vestibulocerebellar nucleus	VeCB	FEFDBC
1101	fiber tracts	fiber tracts	CAC7CB
1102	cranial nerves	cm	C8CAC9
1103	terminal nerve	tn	C7CCC9
1104	vomeronasal nerve	von	CAC8C9
1105	olfactory nerve	In	CCCBC7
1106	olfactory nerve layer of main olfactory bulb	onl	C7CBCA
1107	lateral olfactory tract, general	lotg	CCCCCB
1108	lateral olfactory tract, body	lot	CAC8C7
1109	dorsal limb	lotd	CACAC9
1110	accessory olfactory tract	aolt	C9CAC7
1111	anterior commissure, olfactory limb	aco	CBCBC7
1112	optic nerve	IIn	CBCCC7
1113	accessory optic tract	aot	C9C8CB
1114	brachium of the superior colliculus	bsc	C7CBCB
1115	superior colliculus commissure	csc	C9CBCB
1116	optic chiasm	och	CBCACC
1117	optic tract	opt	CACCCB
1118	tectothalamic pathway	ttp	C9CACC
1119	oculomotor nerve	IIIn	C7CCCC
1120	medial longitudinal fascicle	mlf	CBCBCC
1121	posterior commissure	pc	CCCACA
1122	trochlear nerve	IVn	C8C9C8
1123	trochlear nerve decussation	IVd	C9CCCA
1124	abducens nerve	VIn	CBCACB
1125	trigeminal nerve	Vn	CBC7CB
1126	motor root of the trigeminal nerve	moV	CCCBCA
1127	sensory root of the trigeminal nerve	sV	CACACB
1128	midbrain tract of the trigeminal nerve	mtV	C8C8CA
1129	spinal tract of the trigeminal nerve	sptV	C8CACA
1130	facial nerve	VIIn	CCCCC7
1131	intermediate nerve	iVIIn	C9C8C9
1132	genu of the facial nerve	gVIIn	C9CCC7
1133	vestibulocochlear nerve	VIIIn	C9C7CA
1134	efferent cochleovestibular bundle	cvb	C8CBC8
1135	vestibular nerve	vVIIIn	C9CACB
1136	cochlear nerve	cVIIIn	CAC9C8
1137	trapezoid body	tb	CCC7CB
1138	intermediate acoustic stria	ias	CBC7C8
1139	dorsal acoustic stria	das	CCCBC8
1140	lateral lemniscus	ll	C9C9CB
1141	inferior colliculus commissure	cic	CBC9C9
1142	brachium of the inferior colliculus	bic	C9C8C8
1143	glossopharyngeal nerve	IXn	CCC8C9
1144	vagus nerve	Xn	C7C9CB
1145	solitary tract	ts	C8CAC7
1146	accessory spinal nerve	XIn	CAC8CC
1147	hypoglossal nerve	XIIn	C9CCC8
1148	ventral roots	vrt	CAC7C9
1149	dorsal roots	drt	CAC8CA
1150	cervicothalamic tract	cett	CCC7CA
1151	dorsolateral fascicle	dl	C8CCCB
1152	dorsal commissure of the spinal cord	dcm	CBCCC8
1153	ventral commissure of the spinal cord	vc	CBC8C9
1154	fasciculus proprius	fpr	CCC9C9
1155	dorsal column	dc	CCC8CB
1156	cuneate fascicle	cuf	CAC9CC
1157	gracile fascicle	grf	CAC8C8
1158	internal arcuate fibers	iaf	CBC9CA
1159	medial lemniscus	ml	CACCC8
1160	spinothalamic tract	sst	C9CBC8
1161	lateral spinothalamic tract	sttl	CCCBCC
1162	ventral spinothalamic tract	sttv	CBCAC9
1163	spinocervical tract	scrt	C9CCCC
1164	spino-olivary pathway	sop	CCC7C8
1165	spinoreticular pathway	srp	CBCCC9
1166	spinovestibular pathway	svp	C9CBCC
1167	spinotectal pathway	stp	C9CCCB
1168	spinohypothalamic pathway	shp	CCCBC9
1169	spinotelenchephalic pathway	step	C7CCC8
1170	hypothalamohypophysial tract	hht	C8CBCB
1171	cerebellum related fiber tracts	cbf	C9CAC8
1172	cerebellar commissure	cbc	CBC8CA
1173	cerebellar peduncles	cbp	CAC8CB
1174	superior cerebelar peduncles	scp	CBC9CB
1175	superior cerebellar peduncle decussation	dscp	CCC7CC
1176	spinocerebellar tract	sct	CCCACC
1177	uncinate fascicle	uf	CBC9C8
1178	ventral spinocerebellar tract	sctv	CBC7CC
1179	middle cerebellar peduncle	mcp	CCCCCA
1180	inferior cerebellar peduncle	icp	C9C9C8
1181	dorsal spinocerebellar tract	sctd	C9CACA
1182	cuneocerebellar tract	cct	C8CCCC
1183	juxtarestiform body	jrb	C9CBC9
1184	bulbocerebellar tract	bct	C9C9C7
1185	olivocerebellar tract	oct	CAC9CB
1186	reticulocerebellar tract	rct	C9CBCA
1187	trigeminocerebellar tract	tct	CACCC9
1188	arbor vitae	arb	CBC9CC
1189	supra-callosal cerebral white matter	scwm	C9C9CA
1190	lateral forebrain bundle system	lfbs	C7CCCA
1191	corpus callosum	cc	C7C9CA
1192	corpus callosum, anterior forceps	fa	CAC7CC
1193	external capsule	ec	C8CBCC
1194	corpus callosum, extreme capsule	ee	C9C8CA
1195	genu of corpus callosum	ccg	CCC7C9
1196	corpus callosum, posterior forceps	fp	C8C9CA
1197	corpus callosum, rostrum	ccr	CBC8C7
1198	corpus callosum, body	ccb	C9C7C9
1199	corpus callosum, splenium	ccs	C7CACC
1200	corticospinal tract	cst	C8C7CC
1201	internal capsule	int	CCCCCC
1202	cerebal peduncle	cpd	CCCAC7
1203	corticotectal tract	cte	C8CCC8
1204	corticorubral tract	crt	C8C7CA
1205	corticopontine tract	cpt	C7C8CB
1206	corticobulbar tract	cbt	CBC7CA
1207	pyramid	py	C7C9C9
1208	pyramidal decussation	pyd	C9C7CC
1209	corticospinal tract, crossed	cstc	C7CACB
1210	corticospinal tract, uncrossed	cstu	CCC8C8
1211	thalamus related	lfbst	C7CBCC
1212	external medullary lamina of the thalamus	em	C7CACA
1213	internal medullary lamina of the thalamus	im	CACCCA
1214	middle thalamic commissure	mtc	CACCCC
1215	thalamic peduncles	tp	CCC9CA
1216	optic radiation	or	CBC9C7
1217	auditory radiation	ar	CCC8CA
1218	extrapyramidal fiber systems	eps	CACBC7
1219	cerebral nuclei related	epsc	C8CACB
1220	pallidothalamic pathway	pap	CBCBCA
1221	nigrostriatal tract	nst	CCCACB
1222	nigrothalamic fibers	ntt	CBCCCA
1223	pallidotegmental fascicle	ptf	CACBCC
1224	striatonigral pathway	snp	C7CBC9
1225	subthalamic fascicle	stf	CBCBC9
1226	tectospinal pathway	tsp	C8CBC9
1227	direct tectospinal pathway	tspd	CBC8C8
1228	doral tegmental decussation	dtd	CACAC7
1229	crossed tectospinal pathway	tspc	C8C8CC
1230	rubrospinal tract	rust	C8C8CB
1231	ventral tegmental decussation	vtd	CACBC9
1232	rubroreticular tract	rrt	CACBCA
1233	central tegmental bundle	ctb	CBCAC8
1234	retriculospinal tract	rst	C8CAC8
1235	retriculospinal tract, lateral part	rstl	CCC9CC
1236	retriculospinal tract, medial part	rstm	CBCACA
1237	vestibulospinal pathway	vsp	CCC8C7
1238	medial forebrain bundle system	mfbs	CBCAC7
1239	cerebrum related	mfbc	C9CBC7
1240	amygdalar capsule	amc	C8C9CB
1241	ansa peduncularis	apd	C7CCCB
1242	anterior commissure, temporal limb	act	C9C9C9
1243	cingulum bundle	cing	CACCC7
1244	fornix system	fxs	CCC9C7
1245	alveus	alv	C7C8CC
1246	dorsal fornix	df	CBC8CC
1247	fimbria	fi	CBC8CB
1248	precommissural fornix, general	fxprg	CACBC8
1249	precommissural fornix diagonal band	db	CCCCC8
1250	postcommissural fornix	fxpo	C8C8C9
1251	medial corticohypothalamic tract	mct	CCC8CC
1252	columns of the fornix	fx	C7C8CA
1253	hippocampal commissures	hc	C9C9CC
1254	dorsal hippocampal commissure	dhc	C9CCC9
1255	ventral hippocampal commissure	vhc	C8C9C9
1256	perforant path	per	CBCBC8
1257	angular path	ab	CAC7C8
1258	longitudinal association bundle	lab	CBCCCC
1259	stria terminalis	st	C8CBC7
1260	commissural branch of stria terminalis	stc	C7CAC8
1261	hypothalamus related	mfsbshy	C8CCC9
1262	medial forebrain bundle	mfb	CBCCCB
1263	ventrolateral hypothalamic tract	vlt	CAC9C7
1264	preoptic commissure	poc	CACACC
1265	supraoptic commissures	sup	CCCAC9
1266	supraoptic commissures, anterior	supa	C9C8CC
1267	supraoptic commissures, dorsal	supd	C8C9CC
1268	supraoptic commissures, ventral	supv	CBC7C9
1269	premammillary commissure	pmx	C7CBC8
1270	supramammillary decussation	smd	CACACA
1271	propriohypothalamic pathways	php	CCCCC9
1272	propriohypothalamic pathways, dorsal	phpd	CAC9C9
1273	propriohypothalamic pathways, lateral	phpl	C9CAC9
1274	propriohypothalamic pathways, medial	phpm	CCC9CB
1275	propriohypothalamic pathways, ventral	phpv	CACAC8
1276	periventricular bundle of the hypothalamus	pvbh	CACBCB
1277	mammillary related	mfbsma	CCCBCB
1278	principal mammillary tract	pm	C8CBCA
1279	mammillothalamic tract	mtt	C7C9CC
1280	mammillotegmental tract	mtg	C8C8C8
1281	mammillary peduncle	mp	CCCAC8
1282	dorsal thalamus related	mfbst	CAC7CA
1283	periventricular bundle of the thalamus	pvbt	C8CCCA
1284	epithalamus related	mfbse	C8C7CB
1285	stria medullaris	sm	CCC9C8
1286	fasciculus retroflexus	fr	C7CAC9
1287	habenular commissure	hbc	C8CCC7
1288	pineal stalk	PIS	C8CACC
1289	midbrain related	mfbsm	CBCBCB
1290	dorsal longitudinal fascicle	dlf	CAC9CA
1291	dorsal tegmental tract	dtt	C9C7CB
1292	ventricular systems	VS	AAA8AA
1293	lateral ventricle	VL	A8AAAA
1294	rhinocele	RC	AAA9A8
1295	subependymal zone	SEZ	AAA8A9
1296	choroid plexus	chpl	A9AAA8
1297	choroid fissure	chfl	A9A8AA
1298	interventricular foramen	IVF	A8AAA9
1299	third ventricle	V3	A8A9AA
1300	cerebral aqueduct	AQ	A9A9A8
1301	fourth ventricle	V4	AAA9A7
1302	lateral recess	V4r	A9AAA7
1303	central canal, spinal cord/medulla	c	A7AAA9
1304	grooves	grv	AAA8A8
1305	grooves of the cerebral cortex	grv of CTX	A8AAA8
1306	endorhinal groove	eg	AAAAA7
1307	hippocampal fissure	hf	AAA7AA
1308	rhinal fissure	rf	AAA7A9
1309	rhinal incisure	ri	A9A8A8
1310	grooves of the cerebellar cortex	grv of CBX	A8A8AA
1311	precentral fissure	pce	A8A9A8
1312	preculminate fissure	pcf	A8A9A9
1313	primary fissure	pri	A9A7AA
1314	posterior superior fissure	psf	A8A8A9
1315	prepyramidal fissure	ppf	A7AAAA
1316	secondary fissure	sec	AAAAAA
1317	posterolateral fissure	plf	AAAAA9
1318	nodular fissure	nf	AAA9AA
1319	simple fissure	sif	A9AAAA
1320	intercrural fissure	icf	AAA9A9
1321	ansoparamedian fissure	apf	A9AAA9
1322	intraparafloccular fissure	ipf	A9A9AA
1323	paramedian sulcus	pms	A9A9A9
1324	parafloccular sulcus	pfs	AAAAA8
1325	Interpeduncular fossa	IPF	A9A8A9
1326	retina	retina	7F2E7E
